Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Schriftliche Anfrage betreffend Mobilfunkantennen,Kleine Anfrage,Beantwortet,8. Februar 2010,['GP-Fraktion'],['GP-Fraktion'],79
Postulat betreffend aktiver Standortplanung von Mobilfunkantennen,Postulat,Beantwortet,7. November 2010,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",80
Postulat betreffend Anpassung der subventionsberechtigten Einkommenslimiten beim Schülerclub,Postulat,Erledigt,10. Februar 2014,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",81
Schriftliche Anfrage betreffend LED-Lichter vor Fussgängerstreifen,Anfrage,Erledigt,9. Februar 2020,"[' Rasper Nicolas', ' Baer Charlotte', ' Kronauer Marco', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '']","['Rasper Nicolas', 'Baer Charlotte', 'Kronauer Marco', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']",82
Interpellation betreffend Einsatz von Asylsuchenden und langfristig Arbeitslosen für allgemein sinnvolle Tätigkeiten zugunsten der Bevölkerung in Wädenswil,Interpellation,Erledigt,21. Januar 2016,"[' Schüpbach Nadia ', ' Koch Thomas', ' Schafflützel Roman', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Erstunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Schüpbach Nadia', 'Koch Thomas', 'Schafflützel Roman', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",83
Postulat betreffend Holzschnitzel-Wärmeverbund Mittelort-Au Park,Postulat,Erledigt,24. November 2019,['Sandy Bossert (Erstunterzeichner/in)'],['Sandy Bossert'],84
Postulat betreffend Trinkbrunnen am Bahnhof Wädenswil,Postulat,Erledigt,5. November 2013,"[' Erni Jonas', '', 'Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",85
Postulat betreffend Alternative Beheizung Eisbahnrestaurant,Postulat,Abgeschrieben,20. Juni 2017,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",86
Motion betreffend Bildung von Wahlkreisen für die Au und für fusionswillige Nachbargemeinden,Motion,Beantwortet,11. Mai 2012,"['Tobias Mani\n Rahel Sonderegger (keine Funktion)', '']","['Tobias Mani', 'Rahel Sonderegger']",87
Interpellation betreffend Submission Schulhaus Rotweg,Interpellation,Erledigt,2. September 2015,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Unterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",88
Schriftliche Anfrage betreffend Spielplatzanlagen in Wädenswil,Kleine Anfrage,Beantwortet,24. Juni 2008,['CVP-Fraktion'],['CVP-Fraktion'],89
Postulat betreffend Strandbad Rietliau,Postulat,Erledigt,30. Januar 2013,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",90
"Schriftliche Anfrage betreffend Personalpolitik, Rekrutierung von Personal sowie Besetzung von Kaderstellen in der Stadtverwaltung",Kleine Anfrage,Beantwortet,26. April 2007,"['und Martin Lampert, SVP\n Walter Münch (Verfasser/in)', '']","['Martin Lampert', 'Walter Münch']",91
Interpellation betreffend Unsichere Zukunft von Eisbahn und Seeplatz,Interpellation,Erledigt,20. Juli 2018,"['Patrik Mouron (keine Funktion)\n Volkan Dogu (Erstunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '', '']","['Patrik Mouron', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",92
Motion betreffend Bauabrechnungen,Motion,Erledigt,9. Juli 2018,"['Pascal Rubin (Erstunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '', '']","['Pascal Rubin', 'Bruno Zürcher', 'Hanspeter Andreoli']",93
Interpellation betreffend Schaffung günstigen Wohnraums,Interpellation,Erledigt,13. Februar 2013,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",94
Postulat betreffend Unterstützung von Hauseigentümer/-innen zur Nutzung der Sonnenenergie und zur energetischen Gebäudesanierung,Postulat,Beantwortet,10. Juli 2008,['GP-Fraktion'],['GP-Fraktion'],95
"Schriftliche Anfrage betreffend Abfall, Abwasser und Wasserpreise in Wädenswil",Kleine Anfrage,Beantwortet,18. Mai 2008,['SVP-Fraktion'],['SVP-Fraktion'],96
Postulat betreffend neues Geschäftsmodell für die Badeanlagen,Postulat,Erledigt,10. Juli 2015,"['Marc Lütolf (keine Funktion)\n Patrik Mouron (keine Funktion)\n Volkan Dogu (Erstunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)', '', '', '']","['Marc Lütolf', 'Patrik Mouron', 'Volkan Dogu', 'Monika Greter']",97
Schriftliche Anfrage betreffend Besetzung der Badehäuschen im Bereich Tiefenhof,Kleine Anfrage,,18. April 2012,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",98
Schriftliche Anfrage betreffend Rechtmässigkeit der Kürzung des Budgets der Schulsozialarbeit (SSA),Anfrage,Beantwortet,21. Mai 2017,"['Christine Merseburger (keine Funktion)\n Bruno Zürcher (keine Funktion)\n Gabi Bachmann (Mitunterzeichner/in)', '', '']","['Christine Merseburger', 'Bruno Zürcher', 'Gabi Bachmann']",99
Schriftliche Anfrage betreffend öffentlicher Parkplätze bei der Sonne bzw. Parkausweis für städtische Angestellte,Anfrage,Beantwortet,7. Februar 2016,"[' Baer Charlotte', ' Zürrer André', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",100
Postulat betreffend Lärmsanierung an der Quelle,Petition,Abgeschrieben,27. Mai 2013,"[' Erni Jonas', '', 'Albert A. Stahel\n Kuno Spirig\n Heinz Wiher\n \n Christine Merseburger (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Albert A. Stahel', 'Kuno Spirig', 'Heinz Wiher', 'Christine Merseburger']",101
Interpellation betreffend bürgerfreundlicher Kommunikation vom Stadtrat und Behörden,Interpellation,Erledigt,19. August 2013,['Albert A. Stahel'],['Albert A. Stahel'],102
Interpellation betreffend Erfahrungsbericht über stadteigene Fotovoltaik- und Solarthermie-Anlagen,Interpellation,Erledigt,9. Dezember 2019,['Roy Schärer (Erstunterzeichner/in)'],['Roy Schärer'],103
Interpellation betreffend Soziale Beschaffung und Gemeinde-Ranking von Solidarsuisse,Interpellation,Beantwortet,17. Januar 2014,"[' Erni Jonas', '', 'Daniel Tanner (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '']","['Erni Jonas', 'Daniel Tanner', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",104
Interpellation betreffend Digitalisierung in der Primarschule - Bestehende und geplante Massnahmen zu Sicherheit und Prävention,Interpellation,Erledigt,20. März 2018,"['Martin Schlatter (Mitunterzeichner/in)\n Bruno Zürcher (Erstunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '']","['Martin Schlatter', 'Bruno Zürcher', 'Gabi Bachmann']",105
Schriftliche Anfrage betreffend Bushaltestelle der Linien 121 und 122 an der Seestrasse/Tiefenhofstrasse,Kleine Anfrage,Beantwortet,30. Juni 2007,['Willy Rüegg'],['Willy Rüegg'],106
Postulat betreffend energetische Sanierung/Renovierung der städtischen Liegenschaften,Postulat,Erledigt,9. November 2010,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",107
Schriftliche Anfrage betreffend Restaurant Bahnhof Au,Anfrage,Beantwortet,9. November 2010,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",108
Schriftliche Anfrage betreffend Verzögerung Neubau Feuerwehrgebäude an der Seestrasse,Kleine Anfrage,Beantwortet,28. Juni 2007,['Walter Münch (Verfasser/in)'],['Walter Münch'],109
Interpellation betreffend Umnutzung der Liegenschaft Eintrachtstrasse 24 für die Stadtpolizei,Interpellation,Erledigt,25. März 2018,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Hanspeter Andreoli', 'Sandy Bossert']",110
Schriftliche Anfrage betreffend Mitarbeiterbefragung und -qualifikation/Fluktuationen,Anfrage,Beantwortet,4. Dezember 2013,"[' Baer Charlotte', ' Furrer Astrid', ' Koch Thomas', '', 'FDP-Fraktion & SVP/BFPW-Fraktion\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Walter Münch (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Walter Münch (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)\n Christian Nufer (keine Funktion)', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Astrid Furrer', 'Koch Thomas', 'FDP-Fraktion', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Walter Münch', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Walter Münch', 'Hanspeter Andreoli', 'Sandy Bossert', 'Christian Nufer']",111
Schriftliche Anfrage betreffend Kosten Schulraumprovisorien,Anfrage,Erledigt,19. Januar 2020,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",112
Interpellation betreffend Zerstörung und Sicherheit,Interpellation,Erledigt,28. Mai 2013,['Albert A. Stahel'],['Albert A. Stahel'],113
Interpellation betreffend Auswirkungen der bewilligten Geschäfte der laufenden Legislatur auf die Finanzen der Stadt Wädenswil,Interpellation,Erledigt,12. Juli 2013,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",114
Schriftliche Anfrage betreffend Park + Ride in Wädenswil,Anfrage,Beantwortet,3. Februar 2016,"[' Baer Charlotte', ' Zürrer André', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",115
Interpellation betreffend Wädenswiler-Energiestrategie auf Abwegen?,Interpellation,Erledigt,20. April 2017,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",116
Postulat betreffend Gastronomiebetrieb im Gebiet Gerbestrasse/Rosenmattpark,Postulat,Nicht überwiesen,10. April 2012,[' Erni Jonas'],['Erni Jonas'],117
Schriftliche Anfrage betreffend Massnahmen im Flüchtlingsbereich,Anfrage,Beantwortet,1. September 2015,"['Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Patrik Mouron (keine Funktion)\n Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Zweitunterzeichner/in)', '', '', '', '']","['Marc Lütolf', 'Andreas Gut', 'Patrik Mouron', 'Volkan Dogu', 'Monika Greter']",118
Schriftliche Anfrage betreffend Beitritt der Stadt Wädenswil zur Behindertenkonferenz des Kantons Zürich,Kleine Anfrage,Beantwortet,8. Juni 2008,['Willy Rüegg'],['Willy Rüegg'],119
Schriftliche Anfrage betreffend Energiebuchhaltung von öffentlichen Gebäuden,Kleine Anfrage,Beantwortet,10. Juli 2008,['GP-Fraktion'],['GP-Fraktion'],120
Interpellation betreffend der Förderung von günstigem Wohnraum,Interpellation,Erledigt,12. Februar 2013,"[' Erni Jonas', '', 'Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",121
Postulat betreffend elektronisches Baubewilligungsverfahren,Postulat,Abgeschrieben,9. Juli 2018,"['Pascal Rubin (Erstunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '', '']","['Pascal Rubin', 'Bruno Zürcher', 'Hanspeter Andreoli']",122
Postulat betreffend Prüfung der Einführung von Betreuungsgutscheinen für Kinder im Vorschulatler unter Berücksichtigung der Erfahrungen in Luzern,Postulat,Beantwortet,4. Juli 2010,"['Aurel Greter, CVP\n Michael Vogt, CVP\n Beat Wiederkehr (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Aurel Greter', 'Michael Vogt', 'Beat Wiederkehr', 'Monika Greter']",123
Schriftliche Anfrage betreffend Zukunft des Alcatel-Areals in Au-Wädenswil,Anfrage,Beantwortet,21. Juni 2013,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",124
Postulat betreffend Tempo 30 flächendeckend in Wädenswil und der Au,Postulat,Abgeschrieben,2. November 2012,"[' Erni Jonas', '', 'Willy Rüegg\n Daniel Tanner (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Willy Rüegg', 'Daniel Tanner', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",125
Postulat betreffend Organisation des ärztlichen Notfalldiensts,Postulat,Beantwortet,29. Oktober 2008,['FDP-Fraktion'],['FDP-Fraktion'],126
Interpellation betreffend Energiekosten für Menschen mit Ergänzungsleistungen,Interpellation,Erledigt,11. Januar 2023,"[' Roth Hans', ' Bachmann Severin', ' Frommherz Nico', ' Hauser Urs', ' Höhener Patrick', ' Reiter Ulrich', ' Reust Patrick', ' Signer Karin', ' Wehrli Samuel', ' Willi Daniel', '', 'Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '']","['Roth Hans', 'Bachmann Severin', 'Frommherz Nico', 'Hauser Urs', 'Höhener Patrick', 'Reiter Ulrich', 'Reust Patrick', 'Karin Signer', 'Wehrli Samuel', 'Willi Daniel', 'Judith Fürst', 'Edith Höhn', 'Gabi Bachmann']",127
Postulat betreffend Neugestaltung des Kinderspielplatzes auf dem Seeplatz,Postulat,Beantwortet,30. Mai 2010,"['Christoph Hirzel, SP\n Tobias Mani, EVP', '']","['Christoph Hirzel', 'Tobias Mani']",128
Postulat betreffend Dialogmodell der Mobilfunkbetreiber,Postulat,Abgeschrieben,18. März 2015,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",129
Interpellation betreffend Gewerbeland in Wädenswil,Interpellation,Beantwortet,22. Juni 2009,['SVP-Fraktion'],['SVP-Fraktion'],130
Interpellation betreffend Sicherheit an den Bahnhöfen Wädenswil und Au,Interpellation,Beantwortet,11. März 2008,['Christoph Hirzel'],['Christoph Hirzel'],131
Schriftliche Anfrage betreffend Wegzug BASF und zur Standortförderung des Industrie- und Dienstleistungsstandorts Wädenswil,Anfrage,Beantwortet,2. April 2011,"[' Furrer Astrid', '', 'Peter Dolder, FDP\n Gian-Fadri Gattiker, FDP\n Thomas Bürge, FDP\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']",132
Schriftliche Anfrage betreffend Studien und Ausstellung  Zentrumsplanung sowie Neugestaltung Zugerstrasse,Kleine Anfrage,Beantwortet,27. Juli 2012,['Hansjörg Schmid (keine Funktion)'],['Hansjörg Schmid'],133
Interpellation betreffend das Littering in Wädenswil,Interpellation,Beantwortet,16. September 2011,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],134
Interpellation betreffend Entwicklung der Au,Interpellation,Beantwortet,13. September 2011,"['Tobias Mani\n Rahel Sonderegger (keine Funktion)', '']","['Tobias Mani', 'Rahel Sonderegger']",135
Schriftliche Anfrage betreffend Besetzung respektive Räumung des Tesdorpf-Areals am Seeweg,Kleine Anfrage,Beantwortet,23. Juli 2012,['Walter Münch (keine Funktion)'],['Walter Münch'],136
Schriftliche Anfrage betreffend Fluktuation bei der Polizei Wädenswil,Anfrage,Beantwortet,30. März 2011,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",137
Schriftliche Anfrage betreffend Kino für Wädenswil,Kleine Anfrage,Beantwortet,8. Juni 2009,['GP-Fraktion'],['GP-Fraktion'],138
Interpellation betreffend Sprachförderung im Vorkindergarten,Interpellation,Beantwortet,13. März 2008,['CVP-Fraktion'],['CVP-Fraktion'],139
Interpellation betreffend Unterführung Bahnhof Wädenswil Süd,Interpellation,Beantwortet,30. November 2010,['Daniel Tanner (keine Funktion)'],['Daniel Tanner'],140
Schriftliche Anfrage betreffend Anschaffung von Tasern für die Stadtpolizei,Anfrage,Beantwortet,17. März 2015,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",141
Interpellation betreffend unterirdischer Führung der Hochspannungsleitungen,Interpellation,Beantwortet,31. Mai 2010,"['Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Adrian Stocker (keine Funktion)\n Rita Hug (keine Funktion)', '', '', '']","['Heinz Wiher', 'Simon Kägi', 'Adrian Stocker', 'Rita Hug']",142
Postulat betreffend Sensibilisierungs- und Präventionskampagne gegen Littering,Postulat,Abgelehnt,6. Januar 2023,"[' Koch Thomas', ' Lüthi Beat', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '']","['Koch Thomas', 'Lüthi Beat', 'Schafflützel Roman', 'Schüpbach Nadia', 'Ernst Grand', 'Christian Nufer']",143
Schriftliche Anfrage betreffend legal sprayen auf Schulhäuser,Kleine Anfrage,Beantwortet,14. November 2008,['SVP-Fraktion'],['SVP-Fraktion'],144
Schriftliche Anfrage betreffend Kinderrechte,Anfrage,Beantwortet,10. Juni 2013,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",145
Interpellation betreffend geplanter Erweiterung Golfplatz Beichlen,Interpellation,Erledigt,26. November 2012,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",146
Postulat betreffend Erhöhung der Entschädigung der Wahlbüromitglieder,Postulat,Beantwortet,16. Juni 2010,"['Tobias Mani, EVP\n Michael Vogt, CVP', '']","['Tobias Mani', 'Michael Vogt']",147
Postulat betreffend ausgewogener Information der Stimmbevölkerung in der Urnenweisung,Postulat,Nicht überwiesen,24. November 2009,"['Christoph Hirzel, Denise Engel und Thomas Hartmann, SP']","['Christoph Hirzel', 'Denise Engel', 'Thomas Hartmann']",148
Postulat betreffend Fussgängerleitsystem,Postulat,Nicht überwiesen,9. Juli 2010,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",149
Schriftliche Anfrage betreffend Neugestaltung zentraler Grünflächen,Kleine Anfrage,Beantwortet,15. Oktober 2012,"[' Erni Jonas', '', 'Willy Rüegg\n Daniel Tanner (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Willy Rüegg', 'Daniel Tanner', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",150
Interpellation betreffend Überprüfung der sozialen Organisationen SKOS und SNH,Interpellation,Erledigt,7. Juni 2013,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",151
Interpellation betreffend Ausbau Bahnhof Wädenswil,Interpellation,Erledigt,6. November 2022,"[' Gall Ursula', ' Bislin Martin', ' Utiger Joël', '', 'Lukas Wiederkehr (Mitunterzeichner/in)']","['Gall Ursula', 'Bislin Martin', 'Utiger Joël', 'Lukas Wiederkehr']",152
Schriftliche Anfrage betreffend Energieplanung der Stadt Wädenswil,Anfrage,Beantwortet,27. März 2017,"['Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']",153
Postulat betreffend Einschränkung der Anbieter im Einladungsverfahren in Bezug auf die Anzahl sowie dem kantonalen Standort,Postulat,Beantwortet,2. Juni 2010,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",154
Interpellation betreffend Konflikt- und Präventionskonzept an der Primarschule Wädenswil,Interpellation,Erledigt,2. April 2015,"['Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Volkan Dogu (Mitunterzeichner/in)\n Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '', '', '', '', '', '']","['Daniel Tanner', 'Thomas Rom', 'Marc Lütolf', 'Andreas Gut', 'Volkan Dogu', 'Beatrice Gmür', 'Hansjörg Schmid', 'Monika Greter', 'Edith Brunner', 'Christian Gross']",155
